batch size,data parallel,model parallel,thread num,fifo size,End to end FPS,Hardware FPS,Total execution time(ms),Prepare input time(ms),Copyin time(ms),Execution time(ms),Copyout time(ms),Post process time(ms)
2,1,1,8,2,950.5896,1018.246,1346684,1316.5612,1932.79845,11403.201,117.3882,175.0066
8,8,2,8,2,948.987,6090.34,1349310,1668.2888,4589.75595,3031.042,52.642,202.7424
16,4,4,8,2,945.3154,6036.618,1354102,1683.1658,8952.1564,3050.7292,45.28,189.939
4,16,2,8,2,940.8824,11629.4,1361044,1663.2544,13183.23575,2241.581,66.704,182.3074
16,1,1,8,2,931.6554,1055.112,1374198,1424.6204,678.03085,11079.474,46.2626,205.8926
16,4,8,8,2,931.4422,12107.06,1374538,1760.006,816.68565,2220.3304,50.7904,193.2312
2,16,1,32,2,930.8808,20380.62,1375620,4590.7562,954.9409,3385.4112,447.1138,160.2196
8,8,4,8,2,929.9416,11920.48,1377552,1775.161,2526.85235,2236.5898,56.7468,190.0392
4,2,8,8,2,926.7438,3922.394,1381246,1349.2342,5742.0166,3992.1124,76.1506,181.2526
32,2,16,8,2,923.6854,11841.44,1386252,1821.8688,11279.115,2251.0242,43.1914,203.5386
4,1,8,32,2,921.0722,8098.346,1390210,3226.1652,15461.57475,6448.6744,160.4026,290.9488
4,2,8,16,2,915.7434,7878.724,1397968,1646.7258,701.427,3997.5092,85.757,185.8554
16,4,2,8,2,914.041,3134.808,1400606,1777.7044,832.65745,4667.3784,47.959,189.887
32,1,1,32,2,911.6988,1773.274,1415902,5086.8526,1277.71685,24577.787,79.286,179.0796
2,2,4,16,2,907.5838,3798.438,1410768,1615.908,3390.46355,6804.4766,116.012,171.6966
2,2,4,8,2,906.3524,1880.84,1412538,1363.3486,7363.54245,6858.0934,128.8588,178.418
64,1,32,8,2,905.7494,11525.32,1415786,1942.8602,14168.92875,2304.2824,47.0162,201.4952
4,2,8,32,2,905.739,15903.3,1413405,3254.796,773.00465,3989.2445,243.405,201.411
1,1,1,8,2,905.06875,986.7305,1414455,1433.522,819.7567,11792.33575,50.5145,192.0345
2,4,1,64,2,903.888,15436.9,1416100,13325.31,818.1313,6722.865,1305.973,206.958
2,1,4,32,2,903.2618,3897.104,1417120,3079.5374,878.90845,11927.6808,175.12,271.062
8,2,16,8,2,901.6564,8028.83,1419632,1373.6156,1880.84955,2695.0454,51.365,193.1064
8,1,16,8,2,901.273,3803.366,1420296,1404.4612,3495.0759,4112.7474,53.8006,197.2092
8,1,1,64,2,899.472,5043.69,1423060,13506.375,3415.69875,17665.151,559.446,1068.183
2,4,4,8,2,891.8506,3749.93,1435506,1336.942,634.6831,4166.6106,93.7862,172.413
8,8,1,16,2,891.6296,5733.972,1435896,2673.4656,762.80875,5007.7294,102.705,190.5494
32,2,8,8,2,890.7664,5831.598,1446122,2030.306,810.29755,3202.878,50.545,195.938
8,8,1,32,2,889.1816,11441.5,1443652,3695.0218,912.6466,5023.6796,117.31,193.9946
16,4,1,16,2,888.6942,3046.642,1444116,2940.668,2132.5142,8170.9338,71.9966,184.6162
2,4,4,16,2,886.4078,7551.532,1444772,1616.0066,4006.23935,4157.4286,100.5566,177.8988
4,2,1,64,2,886.187,11710.4,1444390,12106.933,4116.44725,8439.882,882.433,188.829
8,2,16,16,2,885.584,16085.45,1445380,1590.4675,646.22245,2718.583,57.442,188.268
32,2,4,8,2,885.1546,3003.744,1451462,1936.91,772.64925,4860.9444,42.4946,205.5854
1,8,1,64,2,885.082,26137.3,1446190,12713.331,813.90115,4580.405,507.1,167.606
64,1,16,8,2,878.3468,5720.85,1460788,1836.1572,1732.1038,3251.4084,45.66,210.6468
16,4,1,32,2,878.157,6110.132,1459294,4739.5688,3882.3815,8163.5472,107.7076,198.0074
8,1,16,16,2,873.4236,7592.79,1465618,1814.4746,6863.1462,4162.9752,58.6414,199.7054
2,2,4,32,2,872.18,7619.472,1467964,3224.344,5608.3955,6844.5626,228.2848,186.712
4,16,1,32,2,870.297,22105.02,1475430,3661.3866,653.9649,3328.452,170.4938,187.7278
