size,in,out
6553600,1043446,1032306
2359296,384087,376612
6553600,1043647,1032369
6553600,1049881,1038827
6553600,1043913,1032404
1638400,270557,263633
4718592,754397,745825
3276800,529043,520130
3276800,528336,519938
3276800,528411,520377
9437184,1497740,1483724
3276800,528580,520051
3276800,528863,520138
1048576,176826,170813
1048576,172564,171072
9437184,1497173,1483233
9437184,1496816,1483371
9437184,1497600,1483338
9437184,1497422,1483521
9437184,1496791,1482874
9437184,1497493,1483089
9437184,1498351,1489368
3276800,527916,520406
9437184,1498137,1482839
3276800,528435,520364
1228800,212951,202013
26214400,4135378,4105882
26214400,4136427,4105595
26214400,4137000,4105341
26214400,4136763,4105112
26214400,4137175,4105282
26214400,4137659,4105319
6553600,1044246,1032739
13107200,2074605,2056230
13107200,2073540,2056768
13107200,2074643,2056249
13107200,2074308,2056267
13107200,2074658,2056990
13107200,2074509,2056711
3276800,528192,520157
1179648,198398,192687
6553600,1043247,1032128
6553600,1044988,1032354
6553600,1049822,1037871
2359296,383930,376591
6553600,1044256,1032142
6553600,1043680,1032437
6553600,1044827,1032161
2359296,384149,376736
6553600,1042214,1032546
6553600,1043969,1032013
6553600,1044812,1032565
1638400,270757,263796
4718592,754519,745309
3276800,528680,520046
3276800,527822,520523
3276800,527916,520065
9437184,1497641,1482765
3276800,528830,520076
3276800,528354,520162
1048576,177159,170840
1048576,172080,169989
9437184,1497514,1483266
9437184,1497727,1483536
9437184,1496991,1483003
9437184,1498069,1482661
9437184,1498749,1483131
9437184,1497132,1483763
9437184,1497754,1483084
3276800,527992,520662
9437184,1496816,1483048
3276800,528112,519816
1228800,213298,202122
26214400,4145537,4118423
26214400,4135923,4105529
26214400,4137960,4105310
26214400,4137352,4104847
26214400,4137455,4105060
26214400,4137945,4104847
6553600,1043063,1032846
13107200,2074326,2057169
13107200,2073987,2057055
13107200,2075694,2056450
13107200,2076005,2056690
13107200,2075161,2056712
13107200,2075634,2056513
3276800,528562,520323
1179648,198660,193120
6553600,1042589,1032580
6553600,1044230,1032494
6553600,1043786,1032941
2359296,384248,377022
6553600,1043142,1032724
6553600,1043609,1032310
6553600,1044753,1033254
2359296,383974,376901
6553600,1043683,1032885
6553600,1045456,1032488
6553600,1044038,1032542
1638400,270897,264296
4718592,755214,746148
3276800,528828,520227
3276800,528876,521189
3276800,528926,520058
9437184,1497989,1482964
3276800,528913,520459
3276800,528293,520426
1048576,177161,170454
1048576,171961,171601
9437184,1497703,1489561
9437184,1497939,1483705
9437184,1498095,1483783
9437184,1497880,1483280
9437184,1497516,1483827
9437184,1497646,1482838
9437184,1497743,1483776
3276800,528647,520579
9437184,1497585,1483692
3276800,528072,520576
1228800,213084,202635
26214400,4133884,4105592
26214400,4136693,4105685
26214400,4137799,4105326
26214400,4136218,4105208
26214400,4136735,4104929
26214400,4137765,4105162
6553600,1042794,1032370
13107200,2074118,2056651
13107200,2073122,2056851
13107200,2074391,2056220
13107200,2074499,2056576
13107200,2073147,2056249
13107200,2074605,2057419
3276800,527973,520268
1179648,198043,191857
6553600,1043466,1032452
6553600,1043884,1032946
6553600,1043472,1032261
2359296,384015,376305
6553600,1043728,1032623
6553600,1044032,1032626
6553600,1043815,1032855
2359296,383449,376518
6553600,1043544,1032233
6553600,1044446,1032199
6553600,1043486,1032409
1638400,270182,263704
4718592,754911,745654
3276800,528282,520140
3276800,529224,520018
3276800,527579,520079
9437184,1496819,1483271
3276800,528036,521019
3276800,529220,520839
1048576,176399,170593
1048576,171374,169935
9437184,1496234,1483276
9437184,1497333,1483045
9437184,1496773,1483224
9437184,1497042,1483292
9437184,1498071,1482535
9437184,1497780,1482891
9437184,1496996,1483068
3276800,527825,520381
9437184,1497394,1483261
3276800,527877,520003
1228800,209258,201674
26214400,4135060,4106346
26214400,4135461,4114927
26214400,4164640,4118210
26214400,4163149,4114620
26214400,4156642,4114857
26214400,4162183,4113324
6553600,1049973,1040905
13107200,2079246,2062285
13107200,2078784,2057954
13107200,2076818,2057651
13107200,2074634,2057646
13107200,2075237,2057478
13107200,2074471,2056875
3276800,528292,521016
1179648,198671,192509
6553600,1042982,1032674
6553600,1044207,1032208
6553600,1042979,1032668
2359296,383726,376931
6553600,1042713,1032578
6553600,1044160,1032265
6553600,1044053,1032231
2359296,383681,376531
6553600,1043317,1031969
6553600,1043492,1032531
6553600,1044013,1032024
1638400,271224,264941
4718592,755037,745355
3276800,528466,520214
3276800,528517,520516
3276800,528368,520645
9437184,1497627,1482716
3276800,528157,520073
3276800,528332,520190
1048576,176595,170603
1048576,171419,169776
9437184,1496565,1483404
9437184,1497799,1483117
9437184,1496700,1483076
9437184,1496735,1483130
9437184,1496497,1482734
9437184,1497242,1483221
9437184,1496682,1483269
3276800,528122,520468
9437184,1497021,1483277
3276800,527701,520035
1228800,208674,202202
26214400,4136715,4105731
26214400,4135781,4105186
26214400,4135732,4105421
26214400,4135681,4104723
26214400,4137534,4104754
26214400,4137612,4105047
6553600,1043268,1033082
13107200,2074973,2056355
13107200,2073998,2057015
13107200,2075325,2056932
13107200,2074391,2056898
13107200,2075152,2056962
13107200,2074777,2056649
3276800,528186,520382
1179648,198979,192783
6553600,1043966,1032457
6553600,1043617,1032193
6553600,1043908,1032228
2359296,383726,376545
6553600,1043111,1032426
6553600,1043711,1032127
6553600,1044399,1032422
2359296,383706,376516
6553600,1042945,1032081
6553600,1043990,1031916
6553600,1044921,1032889
1638400,271155,263783
4718592,758107,745989
3276800,528233,520065
3276800,528386,520362
3276800,528440,519974
9437184,1497195,1482627
3276800,528638,520044
3276800,527682,520101
1048576,177372,170940
1048576,171891,170516
9437184,1496790,1482868
9437184,1496733,1482775
9437184,1497545,1483008
9437184,1496220,1483091
9437184,1496649,1482685
9437184,1497300,1483165
9437184,1497526,1482975
3276800,528343,520104
9437184,1497292,1483047
3276800,527595,519895
1228800,212396,201879
26214400,4135349,4105483
26214400,4135753,4105518
26214400,4137910,4105951
26214400,4137964,4105344
26214400,4137204,4105226
26214400,4135579,4104842
6553600,1043355,1034030
13107200,2074598,2056560
13107200,2075775,2056843
13107200,2073904,2056858
13107200,2074074,2056851
13107200,2074672,2056945
13107200,2073070,2056543
3276800,528047,520058
1179648,198477,192467
6553600,1042572,1032235
6553600,1043144,1032391
6553600,1043970,1032560
2359296,383757,376575
6553600,1043454,1032473
6553600,1043401,1032337
6553600,1044863,1032676
2359296,383597,376473
6553600,1042860,1032717
6553600,1044701,1033565
6553600,1044590,1032848
1638400,270484,263933
4718592,754866,745835
3276800,528255,520163
3276800,528470,520127
3276800,528038,520026
9437184,1497655,1485825
3276800,528576,521008
3276800,528278,520312
1048576,176739,170199
1048576,171609,169954
9437184,1497776,1483420
9437184,1497146,1483040
9437184,1497298,1483875
9437184,1496688,1482679
9437184,1496684,1482807
9437184,1498434,1483772
9437184,1496934,1483456
3276800,528154,520299
9437184,1497564,1483478
3276800,527894,520155
1228800,209604,201818
26214400,4135246,4105889
26214400,4136163,4105387
26214400,4136994,4104598
26214400,4137152,4105431
26214400,4137445,4106480
26214400,4137827,4105408
6553600,1043269,1032490
13107200,2074489,2062393
13107200,2075516,2056422
13107200,2074825,2056979
13107200,2075213,2056771
13107200,2074746,2056679
13107200,2075276,2056773
3276800,527883,520396
1179648,198819,192437
6553600,1043173,1033177
6553600,1042310,1032396
6553600,1044171,1032797
2359296,383632,376523
6553600,1043125,1032375
6553600,1043605,1032434
6553600,1043829,1032015
2359296,383512,377027
6553600,1043162,1038498
6553600,1043998,1032843
6553600,1043786,1032190
1638400,270739,263678
4718592,753946,746032
3276800,528309,520386
3276800,527951,519874
3276800,527957,520207
9437184,1497462,1482927
3276800,527672,520278
3276800,527783,520700
1048576,176589,170531
1048576,171989,169672
9437184,1496261,1483533
9437184,1497874,1483049
9437184,1497738,1483233
9437184,1497338,1483182
9437184,1498644,1483089
9437184,1497834,1482991
9437184,1496894,1482723
3276800,528545,520257
9437184,1497232,1483454
3276800,528296,520626
1228800,209095,201942
26214400,4135741,4105482
26214400,4136883,4104917
26214400,4135387,4104826
26214400,4136777,4104848
26214400,4137097,4105454
26214400,4137117,4105066
6553600,1042865,1032572
13107200,2074403,2056704
13107200,2074294,2056883
13107200,2075911,2056438
13107200,2075008,2056284
13107200,2074000,2056860
13107200,2073217,2056393
3276800,528105,526790
1179648,198727,198858
6553600,1043470,1032657
6553600,1042968,1032357
6553600,1043142,1032347
2359296,383358,376387
6553600,1043551,1032482
6553600,1043329,1032807
6553600,1044195,1032242
2359296,383792,376317
6553600,1042609,1032532
6553600,1043544,1038871
6553600,1044297,1032593
1638400,270526,264012
4718592,754551,745306
3276800,528651,520130
3276800,528371,520054
3276800,528727,520171
9437184,1497803,1482699
3276800,528231,520076
3276800,528230,520615
1048576,177072,170236
1048576,171258,169636
9437184,1497045,1483119
9437184,1497466,1482694
9437184,1497235,1482963
9437184,1497578,1483232
9437184,1498487,1482937
9437184,1497124,1483074
9437184,1498196,1483376
3276800,528163,520078
9437184,1497774,1483176
3276800,527710,520966
1228800,209917,202435
26214400,4136229,4105387
26214400,4136741,4105095
26214400,4135754,4105128
26214400,4137658,4105009
26214400,4138045,4105120
26214400,4138542,4105289
6553600,1043254,1032968
13107200,2074975,2056686
13107200,2074877,2056404
13107200,2074853,2056582
13107200,2075312,2056562
13107200,2076484,2056456
13107200,2075190,2056480
3276800,528692,520510
1179648,198723,192073
6553600,1044426,1032823
6553600,1042865,1032796
6553600,1044328,1033274
2359296,384715,377397
6553600,1043005,1032852
6553600,1043944,1032283
6553600,1043801,1032177
2359296,383932,376264
6553600,1042645,1032273
6553600,1043575,1031991
6553600,1043841,1032297
1638400,270734,264301
4718592,754210,745534
3276800,529421,520592
3276800,528186,520357
3276800,528323,520565
9437184,1498307,1483390
3276800,528483,520177
3276800,528435,520228
1048576,176905,170579
1048576,171820,170477
9437184,1497217,1483106
9437184,1498198,1482812
9437184,1498088,1483243
9437184,1498054,1482901
9437184,1497323,1483122
9437184,1497084,1482608
9437184,1497177,1482741
3276800,528261,520083
9437184,1498656,1483427
3276800,528545,520493
