237568004,40820865,37154856
1258291200,200603797,196673113
3200000000,510004588,503543122
75276,19428,17036
92928,21469,21225
98304,24610,23966
100000,22961,21077
102400,22890,21536
131072,27627,26571
147456,39624,29391
204800,39642,37435
262144,48873,49355
294912,53789,55634
307200,55764,53765
409860,76237,70175
524288,92799,88222
589824,99279,98170
1000000,167869,162432
1048576,172488,169809
1179648,198125,192441
1228800,205287,199406
1280000,213564,207102
1581056,260755,254270
1638400,270017,264250
1638916,270002,263683
2359296,383153,376408
2654208,428739,422763
3538944,568191,560578
4718592,753784,745785
6422528,1022050,1011982
8306688,1322407,1306420
8388608,1336561,1319046
9437184,1507011,1483060
10000000,1590224,1572520
11075584,1763044,1739510
11943936,1900488,1875410
12845056,2048255,2016407
16613376,2624905,2604712
16777216,2651256,2630434
20447232,3227563,3203980
25000000,3944423,3915970
25690112,4055725,4022777
35831808,5653922,5607603
38535168,6090927,6030497
39321600,6196108,6152831
49561600,7816802,7758081
51380224,8111027,8038170
67108864,10591483,10496010
83886080,13254709,13118538
121228800,19178201,18954954
142655492,22716987,22304377
178438148,28383336,27893615
186482692,29618002,29250602
191102980,30462460,29876268
196608000,31251878,34162769
205520896,32767316,32134753
237568004,37833788,37133929
1258291200,200538973,196713551
3200000000,512639095,500033080
75276,21367,19528
92928,22409,21793
98304,25757,21047
100000,24439,22360
102400,24621,22060
131072,29079,26664
147456,31920,29312
204800,40855,38273
262144,49254,46911
294912,54380,52136
307200,57701,54378
409860,76542,70231
524288,92370,88478
589824,99989,99119
1000000,168239,162670
1048576,173918,170688
1179648,198417,191813
1228800,205679,199757
1280000,213451,207379
1581056,261304,254757
1638400,269680,263280
1638916,270103,263865
2359296,383349,376189
2654208,429552,422030
3538944,568254,561043
4718592,754383,748014
6422528,1022529,1011509
8306688,1328917,1306075
8388608,1335271,1319392
9437184,1503676,1486129
10000000,1584260,1570845
11075584,1753218,1738875
11943936,1889253,1874485
12845056,2031464,2015241
16613376,2625261,2604868
16777216,2651332,2629298
20447232,3228648,3205704
25000000,3949411,3915318
25690112,4054590,4022112
35831808,5649536,5607907
38535168,6077172,6031520
39321600,6202706,6155387
49561600,7818112,7752964
51380224,8106054,8039145
67108864,10591196,10495669
83886080,13249236,13118286
121228800,19184086,18955698
142655492,22654932,22324291
178438148,28447386,27898383
186482692,29685812,32663908
191102980,30459374,29871150
196608000,31284019,30731225
205520896,32745465,32124525
237568004,37852944,37132150
1258291200,200552954,200498005
3200000000,512848251,500032481
75276,18404,17413
92928,20981,19919
98304,22103,20586
100000,22073,20554
102400,22482,21160
131072,27216,25811
147456,29523,28400
204800,38341,37480
262144,47669,45891
294912,52331,50996
307200,54563,53158
409860,76656,70082
524288,89395,86976
589824,99074,97614
1000000,168169,162159
1048576,171779,169412
1179648,197691,191672
1228800,205329,199289
1280000,213304,207872
1581056,261082,254914
1638400,269639,263579
1638916,269526,263725
2359296,382907,376041
2654208,429752,422770
3538944,568082,561048
4718592,754180,745160
6422528,1022425,1011557
8306688,1320068,1306166
8388608,1334996,1319845
9437184,1501667,1483075
10000000,1592708,1570935
11075584,1763866,1746723
11943936,1890196,1886384
12845056,2031244,2015192
16613376,2625307,2604357
16777216,2650692,2629543
20447232,3228969,3205096
25000000,3944952,3916017
25690112,4054769,4023045
35831808,5650297,5607799
38535168,6102426,6045896
39321600,6245702,6168862
49561600,7863454,7775470
51380224,8143825,8044313
67108864,10596167,10497847
83886080,13271861,13132966
121228800,19193052,18955866
142655492,25525310,22340096
178438148,28428138,27894693
186482692,29736175,29163459
191102980,30360420,29872392
196608000,31233979,30743032
205520896,32758431,32125489
237568004,37839656,37144035
1258291200,203378846,197032925
3200000000,512966270,500053976
75276,19306,16730
92928,21316,19962
98304,22164,20593
100000,22127,20647
102400,22630,21311
131072,27199,25854
147456,29695,28498
204800,38284,36986
262144,47371,46054
294912,52465,51421
307200,54801,53325
409860,76049,70314
524288,89796,87322
589824,99355,97258
1000000,168345,162302
1048576,171387,169236
1179648,198238,192384
1228800,205705,199938
1280000,213848,207167
1581056,260631,254407
1638400,269475,264042
1638916,270189,263545
2359296,382998,375954
2654208,429036,422161
3538944,568091,560655
4718592,753462,745847
6422528,1022449,1011550
8306688,1317527,1306812
8388608,1331372,1319094
9437184,1496002,1482620
10000000,1584165,1570458
11075584,1752833,1738462
